timestamp_sec;timestamp_nanosec;range;azimuth_deg;elevation_deg;x;y;z;intensity
  1598267360;   621766090;   0.435;-105.668;   0.000;  -0.117;  -0.419;   0.000;     163
  1598267360;   621766090;   0.435;-105.335;   0.000;  -0.115;  -0.420;   0.000;     163
  1598267360;   621766090;   0.435;-105.002;   0.000;  -0.113;  -0.420;   0.000;     160
  1598267360;   621766090;   0.431;-104.668;   0.000;  -0.109;  -0.417;   0.000;     160
  1598267360;   621766090;   0.438;-104.335;   0.000;  -0.108;  -0.424;   0.000;     163
  1598267360;   621766090;   0.437;-104.002;   0.000;  -0.106;  -0.424;   0.000;     163
  1598267360;   621766090;   0.446;-103.668;   0.000;  -0.105;  -0.433;   0.000;     166
  1598267360;   621766090;   0.435;-103.335;   0.000;  -0.100;  -0.423;   0.000;     160
  1598267360;   621766090;   0.436;-103.002;   0.000;  -0.098;  -0.425;   0.000;     157
  1598267360;   621766090;   0.436;-102.668;   0.000;  -0.096;  -0.425;   0.000;     154
  1598267360;   621766090;   0.438;-102.335;   0.000;  -0.094;  -0.428;   0.000;     157
  1598267360;   621766090;   0.426;-102.002;   0.000;  -0.089;  -0.417;   0.000;     154
  1598267360;   621766090;   0.437;-101.669;   0.000;  -0.088;  -0.428;   0.000;     157
  1598267360;   621766090;   0.436;-101.335;   0.000;  -0.086;  -0.427;   0.000;     157
  1598267360;   621766090;   0.437;-101.002;   0.000;  -0.083;  -0.429;   0.000;     157
  1598267360;   621766090;   0.436;-100.669;   0.000;  -0.081;  -0.428;   0.000;     154
  1598267360;   621766090;   0.433;-100.335;   0.000;  -0.078;  -0.426;   0.000;     154
  1598267360;   621766090;   0.439;-100.002;   0.000;  -0.076;  -0.432;   0.000;     154
  1598267360;   621766090;   0.434; -99.669;   0.000;  -0.073;  -0.428;   0.000;     148
  1598267360;   621766090;   0.434; -99.335;   0.000;  -0.070;  -0.428;   0.000;     148
  1598267360;   621766090;   0.437; -99.002;   0.000;  -0.068;  -0.432;   0.000;     142
